"cpe_clave","cpe_descrip","cpe_usos","cpe_regi","cpe_rege","cpe_import","cpe_export","cpe_peps","cpe_px","cpe_dirigido","cpe_ps"
"H1","RETORNO DE MERCANCIAS EN SU MISMO ESTADO.","","","","","","","","",""
"H8","RETORNO DE ENVASES.","","","","","","","","",""
"I1","IMPORTACION, EXPORTACION Y RETORNO DE MERCANCIAS ELABORADAS, TRANSFORMADAS O REPARADAS.","","","","","","","","",""
"F4","CAMBIO DE REGIMEN DE INSUMOS O DE MERCANCIA EXPORTADA TEMPORALMENTE.","","","","","","","","",""
"F5","CAMBIO DE REGIMEN DE MERCANC","","","","","","","","",""
"IN","IMPORTACION TEMPORAL DE BIENES QUE SERAN SUJETOS A TRANSFORMACION, ELABORACION O REPARACION (IMMEX).","","","","","","","","",""
"AF","IMPORTACION TEMPORAL DE BIENES DE ACTIVO FIJO (IMMEX).","","","","","","","","",""
"RT","RETORNO DE MERCANCIAS (IMMEX).","","","","","","","","",""
"A4","INTRODUCCION PARA DEPOSITO FISCAL (AGD).","","","","","","","","",""
"E1","EXTRACCION DE DEPOSITO FISCAL DE BIENES QUE SERAN SUJETOS A TRANSFORMACION, ELABORACION O REPARACION (AGD).","","","","","","","","",""
"E2","EXTRACCION DE DEPOSITO FISCAL DE BIENES DE ACTIVO FIJO (AGD).","","","","","","","","",""
"G1","EXTRACCION DE DEPOSITO FISCAL (AGD).","","","","","","","","",""
"C3","EXTRACCION DE DEPOSITO FISCAL DE FRANJA O REGION FRONTERIZA (AGD).","","","","","","","","",""
"K2","EXTRACCION DE DEPOSITO FISCAL POR DESISTIMIENTO O TRANSFERENCIAS (AGD).","","","","","","","","",""
"A5","INTRODUCCION A DEPOSITO FISCAL EN LOCAL AUTORIZADO.","","","","","","","","",""
"E3","EXTRACCION DE DEPOSITO FISCAL EN LOCAL AUTORIZADO (INSUMOS).","","","","","","","","",""
"E4","EXTRACCION DE DEPOSITO FISCAL EN LOCAL AUTORIZADO (ACTIVO FIJO)","","","","","","","","",""
"G2","EXTRACCION DE DEPOSITO FISCAL EN LOCAL AUTORIZADO PARA SU IMPORTACION DEFINITIVA.","","","","","","","","",""
"K3","EXTRACCION DE DEPOSITO FISCAL EN LOCAL AUTORIZADO PARA RETORNO O TRANSFERENCIA.","","","","","","","","",""
"F2","INTRODUCCION A DEPOSITO FISCAL (IA). ","","","","","","","","",""
"F3","EXTRACCION DE DEPOSITO FISCAL (IA).","","","","","","","","",""
"V3","EXTRACCION DE DEPOSITO FISCAL DE BIENES PARA SU RETORNO O EXPORTACION VIRTUAL (IA).","","","","","","","","",""
"V4","RETORNO VIRTUAL DERIVADO DE LA CONSTANCIA DE TRANSFERENCIA DE MERCANCIAS (IA).","","","","","","","","",""
"F8","INTRODUCCION Y EXTRACCION DE DEPOSITO FISCAL DE MERCANCIAS NACIONALES O NACIONALIZADAS EN TIENDAS LIBRES DE IMPUESTOS (DUTY FREE).","","","","","","","","",""
"F9","INTRODUCCION Y EXTRACCION DE DEPOSITO FISCAL DE MERCANCIAS EXTRANJERAS PARA EXPOSICION Y VENTA DE MERCANCIAS EN TIENDAS LIBRES DE IMPUESTOS (DUTY FREE).","","","","","","","","",""
"G6","INFORME DE EXTRACCION DE DEPOSITO FISCAL DE MERCANCIAS NACIONALES O NACIONALIZADAS VENDIDAS EN TIENDAS LIBRES DE IMPUESTOS (DUTY FREE).","","","","","","","","",""
"G7","INFORME DE EXTRACCION DE DEPOSITO FISCAL DE MERCANCIAS EXTRANJERAS VENDIDAS EN TIENDAS LIBRES DE IMPUESTOS (DUTY FREE).","","","","","","","","",""
"V8","TRANSFERENCIA DE MERCANCIAS EN DEPOSITO FISCAL PARA LA EXPOSICION Y VENTA DE MERCANCIAS EXTRANJERAS, NACIONALES Y NACIONALIZADAS DE TIENDAS LIBRES DE IMPUESTOS (DUTY FREE).","","","","","","","","",""
"M1","INTRODUCCION Y EXPORTACION DE INSUMOS.","","","","","","","","",""
"M2","INTRODUCCION Y EXPORTACION DE MAQUINARIA Y EQUIPO.","","","","","","","","",""
"J3","RETORNO Y EXPORTACION DE INSUMOS ELABORADOS O TRANSFORMADOS EN RECINTO FISCALIZADO.","","","","","","","","",""
"G8","REINCORPORAR AL MERCADO NACIONAL (RFE)","","","","","","","","",""
"M3","INTRODUCCION DE MERCANCIAS (RFE).","","","","","","","","",""
"M4","INTRODUCCION DE ACTIVO FIJO (RFE).","","","","","","","","",""
"M5","INTRODUCCION DE MERCANCIA NACIONAL O NACIONALIZADA (RFE).","","","","","","","","",""
"J4","RETORNO DE MERCANCIAS EXTRANJERAS (RFE).","","","","","","","","",""
"T3","TRANSITO INTERNO.","","","","","","","","",""
"T6","TRANSITO INTERNACIONAL POR TERRITORIO EXTRANJERO.","","","","","","","","",""
"T7","TRANSITO INTERNACIONAL POR TERRITORIO NACIONAL.","","","","","","","","",""
"T9","TRANSITO INTERNACIONAL DE TRANSMIGRANTES.","","","","","","","","",""
"R1","RECTIFICACION DE PEDIMENTOS.","","","","","","","","",""
"CT","PEDIMENTO COMPLEMENTARIO.","","","","","","","","",""
"B8","Clave y descripción de prueba","","","","","","","","",""
