"pai_clavefiii","pai_clavem3","pai_nombre"
"I6","GTM","GUATEMALA (REPUBLICA DE)"
"J1","GNB","GUINEA-BISSAU (REPUBLICA DE)"
"I9","GNQ","GUINEA ECUATORIAL (REPUBLICA DE)"
"I8","GIN","GUINEA (REPUBLICA DE)"
"I7","GUF","GUYANA FRANCESA"
"J2","GUY","GUYANA (REPUBLICA COOPERATIVA DE)"
"J3","HTI","HAITI (REPUBLICA DE)"
"J5","HND","HONDURAS (REPUBLICA DE)"
"J6","HKG","HONG KONG (REGION ADMINISTRATIVA ESPECIAL DE LA REPUBLICA)"
"J7","HUN","HUNGRIA (REPUBLICA DE)"
"J8","IND","INDIA (REPUBLICA DE)"
"J9","IDN","INDONESIA (REPUBLICA DE)"
"K1","IRQ","IRAK (REPUBLICA DE)"
"K2","IRN","IRAN (REPUBLICA ISLAMICA DEL)"
"K3","IRL","IRLANDA (REPUBLICA DE)"
"K4","ISL","ISLANDIA (REPUBLICA DE)"
"HM","LHM","ISLAS HEARD Y MCDONALD"
"FK","FLK","ISLAS MALVINAS (R.U.)"
"MP","MNP","ISLAS MARIANAS SEPTENTRIONALES"
"MH","MHL","ISLAS MARSHALL"
"SB","SLB","ISLAS SALOMON (COMUNIDAD BRITANICA DE NACIONES)"
"SJ","SJM","ISLAS SVALBARD Y JAN MAYEN (NORUEGA)"
"TK","TKL","ISLAS TOKELAU"
"WF","WLF","ISLAS WALLIS Y FUTUNA"
"K5","ISR","ISRAEL (ESTADO DE)"
"K6","ITA","ITALIA (REPUBLICA ITALIANA)"
"K7","JAM","JAMAICA"
"K9","JPN","JAPON"
"L1","JOR","JORDANIA (REINO HACHEMITA DE)"
"KZ","KAZ","KAZAKHSTAN (REPUBLICA DE)"
"L2","KEN","KENYA (REPUBLICA DE)"
"L0","KIR","KIRIBATI (REPUBLICA DE)"
"L3","KWT","KUWAIT (ESTADO DE)"
"KG","KGZ","KYRGYZSTAN (REPUBLICA KIRGYZIA)"
"L6","LSO","LESOTHO (REINO DE)"
"Y1","LVA","LETONIA (REPUBLICA DE)"
"L7","LBN","LIBANO (REPUBLICA DE)"
"L8","LBR","LIBERIA (REPUBLICA DE)"
"L9","LBY","LIBIA (JAMAHIRIYA LIBIA ARABE POPULAR SOCIALISTA)"
"L5","LIE","LIECHTENSTEIN (PRINCIPADO DE)"
"Y2","LTU","LITUANIA (REPUBLICA DE)"
"M0","LUX","LUXEMBURGO (GRAN DUCADO DE)"
"M1","MAC","MACAO"
"MK","MKD","MACEDONIA (ANTIGUA REPUBLICA YUGOSLAVA DE)"
"M2","MDG","MADAGASCAR (REPUBLICA DE)"
"M3","MYS","MALASIA"
"M4","MWI","MALAWI (REPUBLICA DE)"
"M5","MDV","MALDIVAS (REPUBLICA DE)"
"M6","MLI","MALI (REPUBLICA DE)"
"M7","MLT","MALTA (REPUBLICA DE)"
"M8","MAR","MARRUECOS (REINO DE)"
"M9","MTQ","MARTINICA (DEPARTAMENTO DE) (FRANCIA)"
"N1","MUS","MAURICIO (REPUBLICA DE)"
"N2","MRT","MAURITANIA (REPUBLICA ISLAMICA DE)"
"N3","MEX","MEXICO (ESTADOS UNIDOS MEXICANOS)"
"MD","MDA","MOLDAVIA (REPUBLICA DE)"
"N0","MCO","MONACO (PRINCIPADO DE)"
"N4","MNG","MONGOLIA"
"N5","MSR","MONSERRAT (ISLA)"
"ME","MNE","MONTENEGRO"
"N6","MOZ","MOZAMBIQUE (REPUBLICA DE)"
"C5","MMR","MYANMAR (UNION DE)"
"P0","NAM","NAMIBIA (REPUBLICA DE)"
"N7","NRU","NAURU"
"N8","CXI","NAVIDAD (CHRISTMAS) (ISLAS)"
"N9","NPL","NEPAL (REINO DE)"
"P1","NIC","NICARAGUA (REPUBLICA DE)"
"P2","NER","NIGER (REPUBLICA DE)"
"P3","NGA","NIGERIA (REPUBLICA FEDERAL DE)"
"P4","NIU","NIVE (ISLA)"
"P5","NFK","NORFOLK (ISLA)"
"P6","NOR","NORUEGA (REINO DE)"
"NC","NCL","NUEVA CALEDONIA (TERRITORIO FRANCES DE ULTRAMAR)"
"P9","NZL","NUEVA ZELANDIA"
"Q2","OMN","OMAN (SULTANATO DE)"
"Q3","PIK","PACIFICO, ISLAS DEL (ADMON. E.U.A.)"
"J4","ZYA","PAISES BAJOS (REINO DE LOS) (HOLANDA)"
"Z9","KCD","PAISES NO DECLARADOS"
"Q7","PAK","PAKISTAN (REPUBLICA ISLAMICA DE)"
"PW","PLW","PALAU (REPUBLICA DE)"
"PS","PSE","PALESTINA"
"Q8","PAN","PANAMA (REPUBLICA DE)"
"P8","PNG","PAPUA NUEVA GUINEA (ESTADO INDEPENDIENTE DE)"
"R1","PRY","PARAGUAY (REPUBLICA DEL)"
"R2","PER","PERU (REPUBLICA DEL)"
"R3","PCN","PITCAIRNS (ISLAS DEPENDENCIA BRITANICA)"
"R4","PYF","POLINESIA FRANCESA"
"R5","POL","POLONIA (REPUBLICA DE)"
"R6","PRT","PORTUGAL (REPUBLICA PORTUGUESA)"
"R7","PRI","PUERTO RICO (ESTADO LIBRE ASOCIADO DE LA COMUNIDAD DE)"
"R8","QAT","QATAR (ESTADO DE)"
"R9","GBR","REINO UNIDO DE LA GRAN BRETA"
"CZ","CZE","REPUBLICA CHECA"
"CF","CAF","REPUBLICA CENTROAFRICANA"
"L4","LAO","REPUBLICA DEMOCRATICA POPULAR LAOS"
"RS","SRB","REPUBLICA DE SERBIA"
"S2","DOM","REPUBLICA DOMINICANA"
"SK","SVK","REPUBLICA ESLOVACA"
"X9","COD","REPUBLICA POPULAR DEL CONGO"
"S6","RWA","REPUBLICA RUANDESA"
"S3","REU","REUNION (DEPARTAMENTO DE LA) (FRANCIA)"
"S5","ROM","RUMANIA"
"RU","RUS","RUSIA (FEDERACION RUSA)"
"EH","ESH","SAHARA OCCIDENTAL (REPUBLICA ARABE SAHARAVI DEMOCRATICA)"
"S8","WSM","SAMOA (ESTADO INDEPENDIENTE DE)"
"S9","KNA","SAN CRISTOBAL Y NIEVES (FEDERACION DE) (SAN KITTS-NEVIS)"
"T0","SMR","SAN MARINO (SERENISIMA REPUBLICA DE)"
"T1","SPM","SAN PEDRO Y MIQUELON"
"T2","VCT","SAN VICENTE Y LAS GRANADINAS"
"T3","SHN","SANTA ELENA"
"T4","LCA","SANTA LUCIA"
"T5","STP","SANTO TOME Y PRINCIPE (REPUBLICA DEMOCRATICA DE)"
"T6","SEN","SENEGAL (REPUBLICA DEL)"
"T7","SYC","SEYCHELLES (REPUBLICA DE LAS)"
"T8","SLE","SIERRA LEONA (REPUBLICA DE)"
"U1","SGP","SINGAPUR (REPUBLICA DE)"
"U2","SYR","SIRIA (REPUBLICA ARABE)"
"U3","SOM","SOMALIA"
"U4","LKA","SRI LANKA (REPUBLICA DEMOCRATICA SOCIALISTA DE)"
"U5","ZAF","SUDAFRICA (REPUBLICA DE)"
"U6","SDN","SUDAN (REPUBLICA DEL)"
"U7","SWE","SUECIA (REINO DE)"
"U8","CHE","SUIZA (CONFEDERACION)"
"U9","SUR","SURINAME (REPUBLICA DE)"
"V0","SWZ","SWAZILANDIA (REINO DE)"
"TJ","TJK","TADJIKISTAN (REPUBLICA DE)"
"V1","THA","TAILANDIA (REINO DE)"
"F7","TWN","TAIWAN (REPUBLICA DE CHINA)"
"V2","TZA","TANZANIA (REPUBLICA UNIDA DE)"
"V3","XCH","TERRITORIOS BRITANICOS DEL OCEANO INDICO"
"TF","FXA","TERRITORIOS FRANCESES, AUSTRALES Y ANTARTICOS"
"TP","TMP","TIMOR ORIENTAL"
"V7","TGO","TOGO (REPUBLICA TOGOLESA)"
"TO","TON","TONGA (REINO DE)"
"W1","TTO","TRINIDAD Y TOBAGO (REPUBLICA DE)"
"W2","TUN","TUNEZ (REPUBLICA DE)"
"W3","TCA","TURCAS Y CAICOS (ISLAS)"
"TM","TKM","TURKMENISTAN (REPUBLICA DE)"
"W4","TUR","TURQUIA (REPUBLICA DE)"
"TV","TUV","TUVALU (COMUNIDAD BRITANICA DE NACIONES)"
"UA","UKR","UCRANIA"
"W5","UGA","UGANDA (REPUBLICA DE)"
"W7","URY","URUGUAY (REPUBLICA ORIENTAL DEL)"
"Y4","UZB","UZBEJISTAN (REPUBLICA DE)"
"Q1","VUT","VANUATU"
"W8","VEN","VENEZUELA (REPUBLICA DE)"
"W9","VNM","VIETNAM (REPUBLICA SOCIALISTA DE)"
"X2","VGB","VIRGENES. ISLAS (BRITANICAS)"
"X3","VIR","VIRGENES. ISLAS (NORTEAMERICANAS)"
"YE","YEM","YEMEN (REPUBLICA DE)"
"X8","YUG","YUGOSLAVIA (REPUBLICA FEDERAL DE)"
"Z1","ZMB","ZAMBIA (REPUBLICA DE)"
"S4","ZWE","ZIMBABWE (REPUBLICA DE)"
"Z2","PTY","ZONA DEL CANAL DE PANAMA"
"NT","RUH","ZONA NEUTRAL IRAQ-ARABIA SAUDITA"
